word;label;value;num
amargar;Enojo;0.363;1
amargor;Enojo;0.132;1
amargura;Tristeza;0.528;1
amartelado;Alegria;0.966;1
amartelar;Alegria;0.731;1
amativo;Alegria;0.764;1
amatorio;Alegria;0.832;1
ambición;Alegria;0.429;1
ambicioso;Alegria;0.363;1
amedentrar;Miedo;0.898;1
amedrentador;Miedo;0.831;1
amedrentamiento;Miedo;0.831;1
amenazar;Miedo;0.865;1
amigabilidad;Alegria;0.898;1
amigable;Alegria;0.898;1
amigablemente;Alegria;0.864;1
amigo;Alegria;0.898;1
amilanar;Miedo;0.831;1
amistad;Alegria;0.966;1
amistosamente;Alegria;0.898;1
amistoso;Alegria;0.966;1
amohinar;Enojo;0.599;1
amor;Alegria;0.966;1
amorosamente;Alegria;0.932;1
amorosidad;Alegria;0.898;1
amoroso;Alegria;0.898;1
amoscamiento;Enojo;0.397;1
ampolla;Repulsion;0.497;1
amuleto;Alegria;0.398;1
amurriar;Tristeza;0.697;1
angustiadamente;Tristeza;0.697;1
angustiado;Miedo;0.831;1
angustiar;Tristeza;0.729;1
angustiosamente;Miedo;0.831;1
angustioso;Tristeza;0.763;1
anhelo;Alegria;0.297;1
animación;Alegria;0.562;1
animado;Alegria;0.865;1
animar;Alegria;0.797;1
animoso;Alegria;0.83;1
aniquilar;Tristeza;0.463;1
anonadamiento;Sorpresa;0.765;1
anonadar;Sorpresa;0.731;1
ansioso;Miedo;0.264;1
antagónico;Enojo;0.199;1
antagonismo;Enojo;0.364;1
anticipar;Alegria;0.231;1
añicos;Tristeza;0.463;1
apabullar;Tristeza;0.429;1
apaciguar;Alegria;0.298;1
apasionadamente;Alegria;0.663;1
apasionamiento;Alegria;0.696;1
apasionante;Alegria;0.798;1
apego;Alegria;0.597;1
apenar;Tristeza;0.397;1
apesadumbrar;Enojo;0.495;1
apestar;Repulsion;0.831;1
apestoso;Repulsion;0.899;1
apetecer;Alegria;0.363;1
apiadarse;Tristeza;0.464;1
aplanar;Tristeza;0.166;1
aplastar;Tristeza;0.232;1
aplaudir;Alegria;0.797;1
aplauso;Alegria;0.763;1
apoteósico;Sorpresa;0.598;1
apreciar;Alegria;0.629;1
aprensivo;Miedo;0.364;1
aprobación;Alegria;0.596;1
aprobar;Alegria;0.664;1
aprobatorio;Alegria;0.732;1
aquejar;Tristeza;0.497;1
aquietar;Alegria;0.165;1
ardiente;Alegria;0.33;1
ardor;Alegria;0.265;1
armonía;Alegria;0.864;1
arrastradamente;Tristeza;0.297;1
arrastrar;Tristeza;0.198;1
arrebatamiento;Enojo;0.63;1
arrebato;Enojo;0.497;1
arredrar;Miedo;0.463;1
arreglar;Alegria;0.33;1
arrepentimiento;Tristeza;0.462;1
arrepentir;Tristeza;0.462;1
arrobo;Alegria;0.631;1
arrocinar;Sorpresa;0.165;1
arrojar;Enojo;0.496;1
arrojo;Alegria;0.363;1
asar;Enojo;0.165;1
asco;Repulsion;0.966;1
asediar;Enojo;0.364;1
asesinar;Miedo;0.73;1
asolar;Tristeza;0.53;1
asombramiento;Sorpresa;0.932;1
asombrar;Sorpresa;0.966;1
asombrosamente;Sorpresa;0.966;1
asombroso;Sorpresa;0.966;1
aspereza;Enojo;0.298;1
asqueadamente;Repulsion;0.932;1
asquear;Repulsion;0.932;1
asquerosamente;Repulsion;0.966;1
asqueroso;Repulsion;1;1
astroso;Repulsion;0.629;1
asurar;Enojo;0.398;1
asustadizo;Miedo;0.864;1
